fold_id,heldout_sample_id,model_id,train_sample_ids,train_row_count,intercept_ticks,binance_lead_composite_beta_z,basis_beta_z,basis_beta_raw_ticks_per_basis_tick,raw_intercept_ticks,raw_feature_coefficients,normalization_stats,fit_scope
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,binance_lead_regression,xemm_0627_t001_hlfast_utc17_b|xemm_0627_t001_hlfast_utc17_c,7117,0.153154419,3.2361306844,,,0.0110461994,"{""input_binance_microprice_minus_mid_ticks"": 3.6102608044, ""input_binance_mid_move_ticks_from_prev"": 0.5634503971, ""input_binance_top5_imbalance"": 1.9021975219}","{""basis_mid_ticks"": {""mean"": 4.2728677813685545, ""source_row_count"": 7117, ""std"": 46.957852561716386}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.02059750688913868, ""source_row_count"": 7117, ""std"": 0.2987901114562229}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.023675706055922438, ""source_row_count"": 7117, ""std"": 1.9144723895879332}, ""input_binance_top5_imbalance"": {""mean"": 0.042627504705634395, ""source_row_count"": 7117, ""std"": 0.5670863386862102}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,basis_regression,xemm_0627_t001_hlfast_utc17_b|xemm_0627_t001_hlfast_utc17_c,7117,0.153154419,,9.2949327591,0.1979420321,-0.6926257125,"{""basis_mid_ticks"": 0.1979420321}","{""basis_mid_ticks"": {""mean"": 4.2728677813685545, ""source_row_count"": 7117, ""std"": 46.957852561716386}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.02059750688913868, ""source_row_count"": 7117, ""std"": 0.2987901114562229}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.023675706055922438, ""source_row_count"": 7117, ""std"": 1.9144723895879332}, ""input_binance_top5_imbalance"": {""mean"": 0.042627504705634395, ""source_row_count"": 7117, ""std"": 0.5670863386862102}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc16_a,xemm_0627_t001_hlfast_utc16_a,binance_lead_plus_basis_regression,xemm_0627_t001_hlfast_utc17_b|xemm_0627_t001_hlfast_utc17_c,7117,0.153154419,0.539362992,9.1991266664,0.195901775,-0.7075930129,"{""basis_mid_ticks"": 0.195901775, ""input_binance_microprice_minus_mid_ticks"": 0.6017189227, ""input_binance_mid_move_ticks_from_prev"": 0.0939097712, ""input_binance_top5_imbalance"": 0.3170375509}","{""basis_mid_ticks"": {""mean"": 4.2728677813685545, ""source_row_count"": 7117, ""std"": 46.957852561716386}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.02059750688913868, ""source_row_count"": 7117, ""std"": 0.2987901114562229}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.023675706055922438, ""source_row_count"": 7117, ""std"": 1.9144723895879332}, ""input_binance_top5_imbalance"": {""mean"": 0.042627504705634395, ""source_row_count"": 7117, ""std"": 0.5670863386862102}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,binance_lead_regression,xemm_0627_t001_hlfast_utc16_a|xemm_0627_t001_hlfast_utc17_c,7137,0.4063331932,6.5236410277,,,0.1597721655,"{""input_binance_microprice_minus_mid_ticks"": 7.1078046517, ""input_binance_mid_move_ticks_from_prev"": 0.5042385824, ""input_binance_top5_imbalance"": 3.8762502883}","{""basis_mid_ticks"": {""mean"": 48.05030124702256, ""source_row_count"": 7137, ""std"": 72.75347137621064}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.017548731727616645, ""source_row_count"": 7137, ""std"": 0.30593792539265224}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.008897295782541684, ""source_row_count"": 7137, ""std"": 4.3125359401810766}, ""input_binance_top5_imbalance"": {""mean"": 0.032586758112652374, ""source_row_count"": 7137, ""std"": 0.5609924147048302}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,basis_regression,xemm_0627_t001_hlfast_utc16_a|xemm_0627_t001_hlfast_utc17_c,7137,0.4063331932,,18.4172223562,0.2531456164,-11.7573899338,"{""basis_mid_ticks"": 0.2531456164}","{""basis_mid_ticks"": {""mean"": 48.05030124702256, ""source_row_count"": 7137, ""std"": 72.75347137621064}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.017548731727616645, ""source_row_count"": 7137, ""std"": 0.30593792539265224}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.008897295782541684, ""source_row_count"": 7137, ""std"": 4.3125359401810766}, ""input_binance_top5_imbalance"": {""mean"": 0.032586758112652374, ""source_row_count"": 7137, ""std"": 0.5609924147048302}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc17_b,xemm_0627_t001_hlfast_utc17_b,binance_lead_plus_basis_regression,xemm_0627_t001_hlfast_utc16_a|xemm_0627_t001_hlfast_utc17_c,7137,0.4063331932,2.8808231785,18.0681642748,0.2483477961,-11.635733942,"{""basis_mid_ticks"": 0.2483477961, ""input_binance_microprice_minus_mid_ticks"": 3.1387883395, ""input_binance_mid_move_ticks_from_prev"": 0.2226704672, ""input_binance_top5_imbalance"": 1.7117422048}","{""basis_mid_ticks"": {""mean"": 48.05030124702256, ""source_row_count"": 7137, ""std"": 72.75347137621064}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.017548731727616645, ""source_row_count"": 7137, ""std"": 0.30593792539265224}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.008897295782541684, ""source_row_count"": 7137, ""std"": 4.3125359401810766}, ""input_binance_top5_imbalance"": {""mean"": 0.032586758112652374, ""source_row_count"": 7137, ""std"": 0.5609924147048302}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,binance_lead_regression,xemm_0627_t001_hlfast_utc16_a|xemm_0627_t001_hlfast_utc17_b,7154,0.0461280403,6.1856961064,,,-0.0929249212,"{""input_binance_microprice_minus_mid_ticks"": 6.6339260437, ""input_binance_mid_move_ticks_from_prev"": 0.4479022197, ""input_binance_top5_imbalance"": 3.774110557}","{""basis_mid_ticks"": {""mean"": 46.15124405926754, ""source_row_count"": 7154, ""std"": 76.20323086991576}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.011194366559966452, ""source_row_count"": 7154, ""std"": 0.3108112283079023}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.024322057590159353, ""source_row_count"": 7154, ""std"": 4.603457209333348}, ""input_binance_top5_imbalance"": {""mean"": 0.02005353686329326, ""source_row_count"": 7154, ""std"": 0.5463270540147653}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,basis_regression,xemm_0627_t001_hlfast_utc16_a|xemm_0627_t001_hlfast_utc17_b,7154,0.0461280403,,19.8516380642,0.260509139,-11.9766928141,"{""basis_mid_ticks"": 0.260509139}","{""basis_mid_ticks"": {""mean"": 46.15124405926754, ""source_row_count"": 7154, ""std"": 76.20323086991576}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.011194366559966452, ""source_row_count"": 7154, ""std"": 0.3108112283079023}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.024322057590159353, ""source_row_count"": 7154, ""std"": 4.603457209333348}, ""input_binance_top5_imbalance"": {""mean"": 0.02005353686329326, ""source_row_count"": 7154, ""std"": 0.5463270540147653}}",train_fold_only
holdout_xemm_0627_t001_hlfast_utc17_c,xemm_0627_t001_hlfast_utc17_c,binance_lead_plus_basis_regression,xemm_0627_t001_hlfast_utc16_a|xemm_0627_t001_hlfast_utc17_b,7154,0.0461280403,1.6074724297,19.6245055063,0.2575285232,-11.8752692783,"{""basis_mid_ticks"": 0.2575285232, ""input_binance_microprice_minus_mid_ticks"": 1.7239536234, ""input_binance_mid_move_ticks_from_prev"": 0.11639603, ""input_binance_top5_imbalance"": 0.9807754152}","{""basis_mid_ticks"": {""mean"": 46.15124405926754, ""source_row_count"": 7154, ""std"": 76.20323086991576}, ""input_binance_microprice_minus_mid_ticks"": {""mean"": 0.011194366559966452, ""source_row_count"": 7154, ""std"": 0.3108112283079023}, ""input_binance_mid_move_ticks_from_prev"": {""mean"": -0.024322057590159353, ""source_row_count"": 7154, ""std"": 4.603457209333348}, ""input_binance_top5_imbalance"": {""mean"": 0.02005353686329326, ""source_row_count"": 7154, ""std"": 0.5463270540147653}}",train_fold_only
