attempt,event_sequence,phase,open_orders_end_unix_seconds,open_orders_end_ns,pre_open_orders_public_state_seq,pre_open_orders_l2_state_seq,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_l2_local_receive_ts_ns,post_open_orders_public_state_channel,post_open_orders_exchange_time_ms,state_observed_after_open_orders_end,wait_timeout_seconds,status,reason,current_bid,current_ask,inference_scope
1,33,post_open_orders_l2_resync,1783580186.9932227,1783580186993222656,33,32,34,34,1783580186993423441,l2Book,1783580186762,True,0.755,pass,,62871.0,62872.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,38,post_open_orders_l2_resync,1783580189.0915048,1783580189091504896,39,38,40,40,1783580189124384601,l2Book,1783580188880,True,0.755,pass,,62867.0,62868.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,56,post_open_orders_l2_resync,1783580195.3328938,1783580195332893952,58,57,59,59,1783580195564859806,l2Book,1783580195332,True,0.6937500000000001,pass,,62866.0,62867.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,66,post_open_orders_l2_resync,1783580197.897688,1783580197897687808,69,68,71,71,1783580198317357406,l2Book,1783580198097,True,0.8462500000000001,pass,,62859.0,62860.0,requires_l2Book_observed_after_private_open_orders_before_reprice
1,190,post_open_orders_l2_resync,1783580236.7011762,1783580236701176064,195,195,198,198,1783580237126295015,l2Book,1783580236907,True,0.7525,pass,,62893.0,62894.0,requires_l2Book_observed_after_private_open_orders_before_reprice
