candidate_id,family,metric_status,decision_rows,decision_rate,submit_orders,filled_orders,fill_rate,fill_after_cancel_orders,fill_after_cancel_rate,fill_by_100ms_rate,fill_by_500ms_rate,fill_by_1000ms_rate,fill_by_5000ms_rate,mean_time_to_fill_ms,cancel_to_fill_delay_ms_mean,mean_markout_100ms_ticks,mean_markout_500ms_ticks,mean_markout_1000ms_ticks,mean_markout_5000ms_ticks,gross_pnl_proxy_ticks,net_pnl_proxy_ticks,markout_net_ev_proxy_ticks,fee_proxy_ticks,fee_proxy_ticks_mean,spread_capture_proxy_ticks_mean,realized_spread_proxy_ticks_mean,fee_adjusted_realized_spread_ticks_mean,sample_limit_note
baseline_control,baseline_control,diagnostic_proxy,47499,1.0,2516,53,0.02106518282988871,16,0.006359300476947536,0.0031809145129224653,0.00874751491053678,0.011133200795228629,0.015910898965791568,2684.9411332830186,13.901008000000001,-31.488636363650254,-58.47058823531209,-46.53030303032155,-52.58571428569849,683.4999999999127,683.4999999999127,-6749.500000001281,0.0,0.0,12.896226415092693,12.896226415092693,12.896226415092693,single_sample_runner_validation_only
fair_reservation_shift_edge_25,fair_reservation_shift,diagnostic_proxy,41920,0.8825448956820143,2040,43,0.02107843137254902,12,0.0058823529411764705,0.0029411764705882353,0.008333333333333333,0.010294117647058823,0.014713094654242276,3141.416531348837,13.305898666666666,-31.297297297313815,-60.57142857145144,-44.6481481481654,-60.16666666664942,609.4999999999709,609.4999999999709,-5684.0000000012515,0.0,0.0,14.174418604650485,14.174418604650485,14.174418604650485,single_sample_runner_validation_only
inventory_reservation_shift_band,inventory_reservation_shift,diagnostic_proxy,37029,0.7795743068275122,1903,38,0.019968470835522858,15,0.007882291119285338,0.002103049421661409,0.008412197686645636,0.00946372239747634,0.014729089952656496,2918.173251368421,14.360234666666667,-33.645161290342294,-60.326086956553375,-44.58695652177203,-61.93999999998486,411.99999999967986,411.99999999967986,-5004.500000001717,0.0,0.0,10.84210526314947,10.84210526314947,10.84210526314947,single_sample_runner_validation_only
spread_widening_stale_latency,spread_widening,diagnostic_proxy,16528,0.3479652203204278,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,single_sample_runner_validation_only
size_reduction_or_add_side_suppression_pressure,size_reduction_or_add_side_suppression,diagnostic_proxy,34478,0.7258679130086949,851,20,0.023501762632197415,10,0.011750881316098707,0.0011750881316098707,0.004700352526439483,0.007050528789659225,0.012925969447708578,4462.8399744,16.631424000000003,-35.323529411792094,-76.13636363641655,-57.91666666671517,-76.9545454545137,90.99999999962165,90.99999999962165,-2979.5000000012806,0.0,0.0,4.5499999999810825,4.5499999999810825,4.5499999999810825,single_sample_runner_validation_only
stale_latency_no_fresh_add,stale_latency_no_fresh_add,diagnostic_proxy,0,0.0,0,0,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,single_sample_runner_validation_only
min_move_quote_age_churn_guard,min_move_quote_age_churn_guard,diagnostic_proxy,46961,0.9886734457567528,2468,51,0.020664505672609402,16,0.006482982171799027,0.002837454398054317,0.008107012565869477,0.01053911633563032,0.015409570154095702,2781.116611764706,13.901008000000001,-33.17857142858667,-54.84375000001819,-42.016129032276844,-49.64705882351315,615.4999999998836,615.4999999998836,-6139.0000000012515,0.0,0.0,12.06862745097811,12.06862745097811,12.06862745097811,single_sample_runner_validation_only
post_only_safety_interaction,post_only_safety_interaction,diagnostic_proxy,11913,0.2508052801111602,827,16,0.019347037484885126,8,0.009673518742442563,0.0,0.0048367593712212815,0.007255139056831923,0.014510278113663845,2886.49928,11.970144,-29.33333333333091,-49.05555555558143,-22.375000000047294,-44.79999999997381,120.99999999991269,120.99999999991269,-1420.5000000003201,0.0,0.0,7.562499999994543,7.562499999994543,7.562499999994543,single_sample_runner_validation_only
