attempt,event_sequence,is_post_only_reject,reject_reason,guard_bid,guard_ask,submit_bid,submit_ask,limit_px,retry_allowed,retry_reason
1,85,True,"{""response"": {""data"": {""statuses"": [{""error"": ""Post only order would have immediately matched, bbo was 64167@64168. asset=0""}]}, ""type"": ""order""}, ""status"": ""ok""}",64169.0,64170.0,64169.0,64170.0,64169.0,True,wait_next_public_event_reprice
2,1865,False,"{""response"": {""data"": {""statuses"": [{""resting"": {""cloid"": ""<redacted>"", ""oid"": ""<redacted>""}}]}, ""type"": ""order""}, ""status"": ""ok""}",64212.0,64213.0,64212.0,64213.0,64212.0,False,
