task_id,run_id,scenario,order_id,wait_result_raw,wait_outcome,order_response_received,terminal_confirmed,terminal_confirmation_source,final_order_status,exchange_reconciliation_checked,exchange_open_order_absent,exchange_confirmation_source,exchange_reconciliation_status,final_proof_level,expected_final_proof_level,passed,cancel_call_count,wait_call_count,local_snapshot_call_count,rest_open_orders_call_count,boundary
0605T004,shutdown-proof-dry-run-0605T004,local_absent_exchange_absent,101,3,order_response_received,1,1,local_orders,local_absent_from_local_orders,1,1,rest_open_orders,exchange_open_order_absent,exchange_reconciled,exchange_reconciled,1,1,1,1,1,local_fake_no_order_no_network
0605T004,shutdown-proof-dry-run-0605T004,local_absent_exchange_still_open,101,3,order_response_received,1,1,local_orders,local_absent_from_local_orders,1,0,rest_open_orders,exchange_order_still_open,exchange_still_open,exchange_still_open,1,1,1,1,1,local_fake_no_order_no_network
0605T004,shutdown-proof-dry-run-0605T004,exchange_check_failed,101,0,ok_unknown_or_timeout,0,1,local_orders,local_absent_from_local_orders,0,0,none,open_orders_error:RuntimeError:dry-run open_orders failure,local_only,local_only,1,1,1,1,1,local_fake_no_order_no_network
0605T004,shutdown-proof-dry-run-0605T004,local_active_exchange_absent,101,3,order_response_received,1,0,local_orders,local_active_order:new,1,1,rest_open_orders,exchange_open_order_absent,exchange_absent_only,exchange_absent_only,1,1,1,1,1,local_fake_no_order_no_network
0605T004,shutdown-proof-dry-run-0605T004,local_terminal_exchange_absent,101,0,ok_unknown_or_timeout,0,1,local_orders,local_terminal_order:canceled,1,1,rest_open_orders,exchange_open_order_absent,exchange_reconciled,exchange_reconciled,1,1,1,1,1,local_fake_no_order_no_network
0605T004,shutdown-proof-dry-run-0605T004,no_rest_client,101,3,order_response_received,1,1,local_orders,local_absent_from_local_orders,0,0,none,not_checked:no_rest_client,local_only,local_only,1,1,1,1,0,local_fake_no_order_no_network
